courseCode,courseName,timeslotGroup,timslotType,timeslotDay,timeslotFrom,timeslotTo,timeFrom8am,timeslotSize
GENS110,"Fundamentals of Management, Risk & Environment",1,Lecture,Tuesday,9:00,10:50,1,25
GENS110,"Fundamentals of Management, Risk & Environment",2,Lecture,Tuesday,11:00,12:50,3,25
GENS110,"Fundamentals of Management, Risk & Environment",3,Lecture,Tuesday,14:00,15:50,6,0
GENS110,"Fundamentals of Management, Risk & Environment",4,Lecture,Thursday,14:00,15:50,6,0
GENS120,Fundamentals of Economics and Accounting,1,Lecture,Sunday,9:00,10:50,1,25
GENS120,Fundamentals of Economics and Accounting,2,Lecture,Sunday,11:00,12:50,3,25
GENS120,Fundamentals of Economics and Accounting,3,Lecture,Tuesday,9:00,10:50,1,25
GENS120,Fundamentals of Economics and Accounting,4,Lecture,Tuesday,11:00,12:50,3,25
GENS120,Fundamentals of Economics and Accounting,5,Lecture,Thursday,9:00,10:50,1,25
GENS120,Fundamentals of Economics and Accounting,6,Lecture,Thursday,11:00,12:50,3,25
GENS202,Advanced Critical Thinking,1,Lecture,Sunday,9:00,10:50,1,25
GENS203,Entrepreneurship,1,Lecture,Sunday,11:00,12:50,3,25
GENS205,Advanced Risk Management,1,Lecture,Thursday,14:00,15:50,6,0
GENS206,Technical Writing in Arabic,1,Lecture,Tuesday,9:00,10:50,1,25
GENS208,Marketing,1,Lecture,Tuesday,9:00,10:50,1,25
GENS208,Marketing,2,Lecture,Tuesday,11:00,12:50,3,25
GENS210,Scientific Research Methods,1,Lecture,Tuesday,14:00,15:50,6,25
GENS235,Business Communication,1,Lecture,Sunday,14:00,15:50,6,25
GENS236,Service Management,1,Lecture,Sunday,9:00,10:50,1,0
GENS236,Service Management,2,Lecture,Sunday,11:00,12:50,3,0
GENS209,Selections of Life Long Skills,1,Lecture,Sunday,9:00,10:50,1,25
GENS209,Selections of Life Long Skills,2,Lecture,Thursday,9:00,10:50,1,25
MTHS005,Introduction to Probability and Statistics,1,Lecture,Sunday,8:00,10:50,0,25
MTHS005,Introduction to Probability and Statistics,1,Tutorial,Tuesday,14:00,15:50,6,25
MTHS005,Introduction to Probability and Statistics,2,Lecture,Sunday,11:00,13:50,3,25
MTHS005,Introduction to Probability and Statistics,2,Tutorial,Tuesday,14:00,15:50,6,25
MTHS005,Introduction to Probability and Statistics,3,Lecture,Tuesday,8:00,10:50,0,25
MTHS005,Introduction to Probability and Statistics,3,Tutorial,Thursday,14:00,15:50,6,25
MTHS005,Introduction to Probability and Statistics,4,Lecture,Tuesday,11:00,13:50,3,25
MTHS005,Introduction to Probability and Statistics,4,Tutorial,Thursday,14:00,15:50,6,25
MTHS102,Linear Algebra and Multivariable Integrals,1,Lecture,Sunday,11:00,13:50,3,25
MTHS102,Linear Algebra and Multivariable Integrals,1,Tutorial,Tuesday,14:00,15:50,6,25
MTHS102,Linear Algebra and Multivariable Integrals,2,Lecture,Sunday,8:00,10:50,0,25
MTHS102,Linear Algebra and Multivariable Integrals,2,Tutorial,Tuesday,14:00,15:50,6,25
MTHS102,Linear Algebra and Multivariable Integrals,3,Lecture,Thursday,8:00,10:50,0,25
MTHS102,Linear Algebra and Multivariable Integrals,3,Tutorial,Tuesday,9:00,10:50,1,25
MTHS102,Linear Algebra and Multivariable Integrals,4,Lecture,Tuesday,11:00,13:50,3,25
MTHS102,Linear Algebra and Multivariable Integrals,4,Tutorial,Thursday,11:00,12:50,3,25
MTHS114,Numerical Analysis,1,Lecture,Sunday,8:00,10:50,0,25
MTHS114,Numerical Analysis,1,Tutorial,Sunday,11:00,12:50,3,25
MTHS114,Numerical Analysis,2,Lecture,Thursday,8:00,10:50,0,25
MTHS114,Numerical Analysis,2,Tutorial,Thursday,11:00,12:50,3,25
MTHS004,Discrete Mathematics,1,Lecture,Tuesday,8:00,10:50,0,25
MTHS004,Discrete Mathematics,1,Tutorial,Thursday,9:00,10:50,1,25
MTHS104,Differential Equations,1,Lecture,Sunday,8:00,10:50,0,25
MTHS104,Differential Equations,1,Tutorial,Tuesday,11:00,12:50,3,25
MTHS104,Differential Equations,2,Lecture,Sunday,13:00,15:50,5,25
MTHS104,Differential Equations,2,Tutorial,Tuesday,9:00,10:50,1,25
MTHS104,Differential Equations,3,Lecture,Sunday,8:00,10:50,0,25
MTHS104,Differential Equations,3,Tutorial,Tuesday,9:00,10:50,1,25
MTHS104,Differential Equations,4,Lecture,Tuesday,8:00,10:50,0,25
MTHS104,Differential Equations,4,Tutorial,Sunday,11:00,12:50,3,25
CHES201,Fluid Mechanics,1,Lecture,Sunday,9:00,10:50,1,25
CHES201,Fluid Mechanics,1,Tutorial,Sunday,11:00,12:50,3,25
CHES210,Data Science in Chemical Engineering,1,Lecture,Sunday,11:00,12:50,3,25
INTS201,Electrical Engineering,1,Lecture,Sunday,14:00,15:50,6,25
INTS201,Electrical Engineering,1,Tutorial,Monday,14:00,15:50,6,25
CHES402,Petrochemicals from Oil and Gas,1,Lecture,Sunday,16:00,17:50,8,25
CHES402,Petrochemicals from Oil and Gas,1,Tutorial,Sunday,14:00,15:50,6,25
CHES202,Physical Chemistry-1,1,Lecture,Monday,9:00,10:50,1,25
CHES202,Physical Chemistry-1,1,Tutorial,Monday,11:00,12:50,3,25
PES202,General Geology,1,Lecture,Monday,16:00,17:50,8,25
PES202,General Geology,1,Tutorial,Sunday,16:00,17:50,8,25
CHES301,Unit Operations,1,Lecture,Wednesday,11:00,12:50,3,25
CHES301,Unit Operations,1,Tutorial,Wednesday,8:00,10:50,0,25
CHES305,Chemical Reactor Design,1,Lecture,Wednesday,14:00,15:50,6,25
CHES305,Chemical Reactor Design,1,Tutorial,Wednesday,16:00,17:50,8,25
PES201,Introduction to Petroleum Industry,1,Lecture,Wednesday,11:00,12:50,3,25
PES201,Introduction to Petroleum Industry,1,Tutorial,Wednesday,13:00,15:50,5,25
CHES101,Organic Chemistry-1,1,Lecture,Thursday,9:00,10:50,1,25
CHES101,Organic Chemistry-1,1,Tutorial,Thursday,11:00,12:50,3,25
PES301,Reservoir Engineering,1,Lecture,Thursday,14:00,15:50,6,25
PES301,Reservoir Engineering,1,Tutorial,Thursday,16:00,17:50,8,25
CHES306,Process Control,1,Lecture,Thursday,9:00,10:50,1,25
CHES306,Process Control,1,Tutorial,Thursday,11:00,12:50,3,25
CHES210,Data Science in Chemical Engineering,1,Tutorial,Sunday,13:00,15:50,5,25
STRS101,Structural Analysis-1,1,Lecture,Sunday,11:00,12:50,3,25
STRS101,Structural Analysis-1,1,Tutorial,Wednesday,9:00,10:50,1,25
STRS203,Engineering Materials,1,Lecture,Wednesday,11:00,12:50,3,25
STRS203,Engineering Materials,1,Tutorial,Sunday,13:00,15:50,5,25
IHDS204,Civil Engineering Drawing,1,Lecture,Monday,9:00,10:50,1,25
IHDS204,Civil Engineering Drawing,1,Tutorial,Monday,11:00,12:50,3,25
STRS205,Human Resources Management,1,Lecture,Tuesday,13:00,13:50,5,25
STRS205,Human Resources Management,1,Tutorial,Tuesday,14:00,15:50,6,25
EMCS201,Engineering Mechanics-3-Rigid Body Dynamics,1,Lecture,Wednesday,14:00,15:50,6,25
EMCS201,Engineering Mechanics-3-Rigid Body Dynamics,1,Tutorial,Wednesday,16:00,17:50,8,25
ARCS216,Introduction to Cad System for Civil Engineering,1,Lecture,Thursday,9:00,9:50,1,25
ARCS216,Introduction to Cad System for Civil Engineering,1,Tutorial,Thursday,10:00,12:50,2,25
STRS111,Structural Analysis-1 and mechanics of materials,1,Lecture,Monday,9:00,10:50,1,25
STRS111,Structural Analysis-1 and mechanics of materials,1,Tutorial,Tuesday,14:00,15:50,6,25
STRS302,Steel Structures Design I,1,Lecture,Thursday,14:00,15:50,6,25
STRS302,Steel Structures Design I,1,Tutorial,Sunday,9:00,10:50,1,25
STRS215,Enginering Computations,1,Lecture,Sunday,11:00,12:50,3,25
STRS215,Enginering Computations,1,Tutorial,Thursday,11:00,12:50,3,25
STRS301,Reinforced Concrete Design I,1,Lecture,Wednesday,9:00,10:50,1,25
STRS301,Reinforced Concrete Design I,1,Tutorial,Monday,9:00,10:50,1,25
IHDS201,Fluid Mechanics,1,Lecture,Monday,11:00,12:50,3,25
IHDS201,Fluid Mechanics,1,Tutorial,Wednesday,11:00,12:50,3,25
STRS324,Construction Project Management,1,Lecture,Monday,14:00,15:50,6,25
STRS324,Construction Project Management,1,Tutorial,Monday,16:00,17:50,8,25
GENS341,Operation Research,1,Lecture,Wednesday,14:00,14:50,6,25
GENS341,Operation Research,1,Tutorial,Wednesday,15:00,17:50,7,25
GENS237,Ethics & Legislation In Construction Industry,1,Lecture,Tuesday,11:00,12:50,3,25
STRS321,Economic Strategies in Construction Industry,1,Lecture,Tuesday,14:00,15:50,6,25
STRS321,Economic Strategies in Construction Industry,1,Tutorial,Tuesday,16:00,17:50,8,25
STRS204,Mechanics of Materials,1,Lecture,Tuesday,11:00,12:50,3,25
STRS204,Mechanics of Materials,1,Tutorial,Wednesday,15:00,16:50,7,25
STRS204,Mechanics of Materials,2,Lecture,Thursday,12:00,13:50,4,25
STRS204,Mechanics of Materials,2,Tutorial,Monday,9:00,10:50,1,25
MCNS101,Thermodynamics,1,Lecture,Thursday,11:00,12:50,3,25
MCNS101,Thermodynamics,1,Tutorial,Thursday,16:00,17:50,8,25
MCNS101,Thermodynamics,2,Lecture,Thursday,9:00,10:50,1,25
MCNS101,Thermodynamics,2,Tutorial,Sunday,11:00,12:50,3,25
MDPS261,Stress Analysis,1,Lecture,Monday,9:00,10:50,1,25
MDPS261,Stress Analysis,1,Tutorial,Sunday,12:00,13:50,4,25
MCNS101,Thermodynamics,3,Lecture,Sunday,14:00,15:50,6,25
MCNS101,Thermodynamics,3,Tutorial,Thursday,14:00,15:50,6,25
MDPS217,Machine Drawing,1,Lecture,Monday,14:00,15:50,6,25
MDPS217,Machine Drawing,1,Tutorial,Tuesday,14:00,17:50,6,25
MDPS217,Machine Drawing,2,Lecture,Sunday,14:00,15:50,6,25
MDPS217,Machine Drawing,2,Tutorial,Wednesday,9:00,12:50,1,25
MDPS217,Machine Drawing,3,Lecture,Sunday,16:00,17:50,8,25
MDPS217,Machine Drawing,3,Tutorial,Wednesday,14:00,17:50,6,25
MDPS241,Manufacturing Processes I,1,Lecture,Monday,9:00,10:50,1,25
MDPS241,Manufacturing Processes I,1,Tutorial,Monday,14:00,16:50,6,25
MDPS241,Manufacturing Processes I,2,Lecture,Monday,11:00,12:50,3,25
MDPS241,Manufacturing Processes I,2,Tutorial,Thursday,9:00,11:50,1,25
MDPS241,Manufacturing Processes I,3,Lecture,Sunday,14:00,15:50,6,25
MDPS241,Manufacturing Processes I,3,Tutorial,Thursday,13:00,15:50,5,25
MDPS261,Stress Analysis,3,Lecture,Monday,14:00,15:50,6,25
MDPS261,Stress Analysis,3,Tutorial,Sunday,14:00,15:50,6,25
MDPS133,Materials for Mechatronics,1,Lecture,Monday,11:00,12:50,3,25
MDPS133,Materials for Mechatronics,1,Tutorial,Wednesday,13:00,15:50,5,25
MDPS133,Materials for Mechatronics,2,Lecture,Monday,11:00,12:50,3,25
MDPS133,Materials for Mechatronics,2,Tutorial,Wednesday,16:00,18:50,8,25
MDPS132,Materials Science,1,Lecture,Wednesday,11:00,12:50,3,25
MDPS132,Materials Science,1,Tutorial,Tuesday,13:00,15:50,5,25
MDPS242,Manufacturing Processes II,1,Lecture,Sunday,9:00,10:50,1,25
MDPS242,Manufacturing Processes II,1,Tutorial,Thursday,13:00,15:50,5,25
MDPS242,Manufacturing Processes II,2,Lecture,Sunday,11:00,12:50,3,25
MDPS242,Manufacturing Processes II,2,Tutorial,Wednesday,16:00,18:50,8,25
MDPS242,Manufacturing Processes II,3,Lecture,Monday,14:00,15:50,6,25
MDPS242,Manufacturing Processes II,3,Tutorial,Wednesday,13:00,15:50,5,25
MCNS202,Fluid Mechanics,1,Lecture,Monday,14:00,15:50,6,25
MCNS202,Fluid Mechanics,1,Tutorial,Tuesday,13:00,15:50,5,25
MCNS202,Fluid Mechanics,2,Lecture,Wednesday,11:00,12:50,3,25
MCNS202,Fluid Mechanics,2,Tutorial,Monday,16:00,18:50,8,25
MCNS202,Fluid Mechanics,3,Lecture,Thursday,9:00,10:50,1,25
MCNS202,Fluid Mechanics,3,Tutorial,Tuesday,16:00,18:50,8,25
MDPS352,Machine Design,1,Lecture,Sunday,11:00,12:50,3,25
MDPS352,Machine Design,1,Tutorial,Tuesday,11:00,13:50,3,25
EPES303,Electric Drive Systems,1,Lecture,Sunday,14:00,15:50,6,25
EPES303,Electric Drive Systems,1,Tutorial,Wednesday,13:00,15:50,5,25
EPES303,Electric Drive Systems,2,Lecture,Wednesday,14:00,15:50,6,25
EPES303,Electric Drive Systems,2,Tutorial,Sunday,16:00,18:50,8,25
EPES303,Electric Drive Systems,3,Lecture,Wednesday,16:00,17:50,8,25
EPES303,Electric Drive Systems,3,Tutorial,Wednesday,8:00,10:50,0,25
ELCS103,Circuit Analysis,1,Lecture,Wednesday,8:00,9:50,0,25
ELCS103,Circuit Analysis,1,Tutorial,Thursday,13:00,14:50,5,15
ELCS103,Circuit Analysis,2,Tutorial,Monday,11:00,12:50,3,15
SBEN316,Medical Device Technologies,1,Lecture,Sunday,9:00,10:50,1,25
SBEN316,Medical Device Technologies,1,Tutorial,Wednesday,8:00,10:50,0,15
SBEN316,Medical Device Technologies,2,Tutorial,Wednesday,11:00,13:50,3,15
SBEN328,Medical Standards and Accreditations,1,Lecture,Sunday,13:00,14:50,5,35
SBEN328,Medical Standards and Accreditations,1,Tutorial,Sunday,15:00,16:50,7,20
SBEN328,Medical Standards and Accreditations,2,Tutorial,Sunday,17:00,18:50,9,20
SBEN419,Operations Research in Healthcare,1,Lecture,Thursday,10:00,11:50,2,35
SBEN417,Healthcare Facilities Planning and Design,1,Tutorial,Wednesday,8:00,10:50,0,20
SBEN419,Operations Research in Healthcare,2,Tutorial,Wednesday,11:00,13:50,3,20
SBEN428,Advanced Topics in Medical Standards and Accreditations,1,Lecture,Sunday,11:00,12:50,3,25
SBEN428,Advanced Topics in Medical Standards and Accreditations,1,Tutorial,Sunday,13:00,15:50,5,25
SBEN466,Business Process Mining and Enterprise Architecture,1,Lecture,Tuesday,11:00,12:50,3,30
SBEN466,Business Process Mining and Enterprise Architecture,1,Tutorial,Tuesday,13:00,14:50,5,30
SBES120,Introduction to Biomedical Engineering,1,Lecture,Tuesday,11:00,11:50,3,25
SBES120,Introduction to Biomedical Engineering,1,Tutorial,Monday,15:00,16:50,7,15
SBES120,Introduction to Biomedical Engineering,2,Tutorial,Monday,17:00,18:50,9,15
SBES121,Medical Physics,1,Lecture,Sunday,15:00,16:50,7,25
SBES121,Medical Physics,1,Tutorial,Thursday,9:00,10:50,1,15
SBES121,Medical Physics,2,Tutorial,Thursday,11:00,12:50,3,15
SBES130,Basics of Computer Architecture,1,Lecture,Monday,13:00,14:50,5,25
SBES130,Basics of Computer Architecture,1,Tutorial,Tuesday,8:00,10:50,0,15
SBES130,Basics of Computer Architecture,2,Tutorial,Tuesday,14:00,16:50,6,15
SBES131,Clinical Engineering,1,Lecture,Sunday,9:00,10:50,1,25
SBES151,Measurements & Quantitative Experimentation,1,Lecture,Tuesday,9:00,9:50,1,35
SBES151,Measurements & Quantitative Experimentation,1,Tutorial,Wednesday,8:00,10:50,0,20
SBES151,Measurements & Quantitative Experimentation,2,Tutorial,Wednesday,11:00,13:50,3,20
SBES152,Biomedical Signal Processing,1,Lecture,Monday,9:00,10:50,1,25
SBES152,Biomedical Signal Processing,1,Tutorial,Thursday,8:00,10:50,0,15
SBES152,Biomedical Signal Processing,2,Tutorial,Thursday,11:00,13:50,3,15
SBES153,Biomedical Transducers,1,Lecture,Monday,11:00,12:50,3,25
SBES153,Biomedical Transducers,1,Tutorial,Sunday,13:00,15:50,5,15
SBES153,Biomedical Transducers,2,Tutorial,Sunday,16:00,18:50,8,15
SBES161,Medical Monitors & Life Support Equipment,1,Lecture,Monday,13:00,14:50,5,35
SBES161,Medical Monitors & Life Support Equipment,1,Tutorial,Wednesday,14:00,16:50,6,20
SBES161,Medical Monitors & Life Support Equipment,2,Tutorial,Thursday,15:00,17:50,7,20
CCES280,Engineering Seminar,1,Lecture,Sunday,8:00,8:50,0,25
EECS100,Laboratory,1,Lecture,Monday,13:00,14:50,5,25
EECS100,Laboratory,1,Tutorial,Sunday,9:00,10:50,1,15
EECS100,Laboratory,2,Tutorial,Sunday,11:00,12:50,3,15
EECS101,Electronics-1: Basic Electronic Circuits,1,Lecture,Sunday,13:00,15:50,5,25
EECS101,Electronics-1: Basic Electronic Circuits,1,Tutorial,Monday,11:00,12:50,3,20
EECS101,Electronics-1: Basic Electronic Circuits,2,Tutorial,Tuesday,9:00,10:50,1,20
EECS101,Electronics-1: Basic Electronic Circuits,3,Tutorial,Monday,9:00,10:50,1,20
EECS101,Electronics-1: Basic Electronic Circuits,4,Tutorial,Tuesday,11:00,12:50,3,20
EECS101,Electronics-1: Basic Electronic Circuits,2,Lecture,Monday,13:00,15:50,5,20
EECS101,Electronics-1: Basic Electronic Circuits,3,Lecture,Tuesday,13:00,15:50,5,20
EECS102,Circuits-1,1,Lecture,Monday,13:00,15:50,5,20
EECS102,Circuits-1,1,Tutorial,Wednesday,11:00,12:50,3,15
EECS102,Circuits-1,2,Tutorial,Wednesday,11:00,12:50,3,15
EECS102,Circuits-1,3,Tutorial,Wednesday,14:00,15:50,6,15
EECS102,Circuits-1,4,Tutorial,Thursday,11:00,12:50,3,15
EECS102,Circuits-1,2,Lecture,Monday,8:00,10:50,0,25
EECS102,Circuits-1,3,Lecture,Thursday,8:00,10:50,0,25
EECS112,Circuits-2,1,Lecture,Monday,16:00,18:50,8,25
EECS112,Circuits-2,1,Tutorial,Wednesday,9:00,10:50,1,25
EECS112,Circuits-2,2,Tutorial,Wednesday,11:00,12:50,3,25
EECS112,Circuits-2,2,Lecture,Tuesday,16:00,18:50,8,25
EECS201,Electronics-2: Analog and Digital Electronics,1,Lecture,Monday,13:00,15:50,5,25
EECS201,Electronics-2: Analog and Digital Electronics,1,Tutorial,Tuesday,11:00,12:50,3,25
EECS203,Signal Analysis,1,Lecture,Wednesday,8:00,10:50,0,25
EECS203,Signal Analysis,1,Tutorial,Monday,14:00,15:50,6,25
EECS203,Signal Analysis,2,Tutorial,Monday,14:00,15:50,6,25
EECS203,Signal Analysis,3,Tutorial,Monday,11:00,12:50,3,25
EECS203,Signal Analysis,4,Tutorial,Monday,11:00,12:50,3,25
EECS203,Signal Analysis,2,Lecture,Tuesday,8:00,10:50,0,25
EECS203,Signal Analysis,3,Lecture,Wednesday,8:00,10:50,0,25
EECS205,Electromagnetics-1,1,Lecture,Monday,8:00,10:50,0,25
EECS205,Electromagnetics-1,1,Tutorial,Wednesday,14:00,15:50,6,25
EECS304,Control-1,1,Lecture,Sunday,13:00,15:50,5,25
EECS304,Control-1,1,Tutorial,Monday,16:00,17:50,8,25
EECS304,Control-1,2,Tutorial,Sunday,16:00,17:50,8,25
EECS304,Control-1,2,Lecture,Monday,13:00,15:50,5,25
EECS306,Communications-1: Analogue Communications,1,Lecture,Wednesday,13:00,15:50,5,25
EECS306,Communications-1: Analogue Communications,1,Tutorial,Thursday,16:00,17:50,8,25
EECS306,Communications-1: Analogue Communications,2,Tutorial,Thursday,11:00,12:50,3,25
EECS306,Communications-1: Analogue Communications,3,Tutorial,Thursday,14:00,15:50,6,25
EECS306,Communications-1: Analogue Communications,4,Tutorial,Thursday,9:00,10:50,1,25
EECS306,Communications-1: Analogue Communications,2,Lecture,Monday,13:00,15:50,5,25
EECS306,Communications-1: Analogue Communications,3,Lecture,Monday,16:00,18:50,8,25
EECS316,Communications-2,1,Lecture,Monday,8:00,10:50,0,25
EECS316,Communications-2,1,Tutorial,Tuesday,11:00,12:50,3,25
EPES125,Electrical Power Engineering,1,Lecture,Tuesday,15:00,16:50,7,25
EPES125,Electrical Power Engineering,1,Tutorial,Sunday,13:00,15:50,5,25
EPES125,Electrical Power Engineering,2,Tutorial,Sunday,16:00,18:50,8,25
EPES125,Electrical Power Engineering,2,Lecture,Tuesday,13:00,14:50,5,25
PHYS102,Modern Physics,1,Lecture,Wednesday,13:00,15:50,5,25
PHYS102,Modern Physics,1,Tutorial,Tuesday,14:00,15:50,6,20
PHYS102,Modern Physics,2,Tutorial,Tuesday,16:00,17:50,8,20
PHYS102,Modern Physics,3,Tutorial,Sunday,16:00,17:50,8,20
PHYS102,Modern Physics,4,Tutorial,Sunday,14:00,15:50,6,20
PHYS102,Modern Physics,2,Lecture,Wednesday,8:00,10:50,0,20
PHYS102,Modern Physics,3,Lecture,Monday,8:00,10:50,0,20
MDPS251,Kinematics of Machine Components,1,Lecture,Tuesday,14:00,15:50,6,25
ARCS101,Introduction to the History of Architecture,1,Lecture,Wednesday,14:00,15:50,6,45
MDPS251,Kinematics of Machine Components,1,Tutorial,Wednesday,13:00,15:50,5,25
MDPS251,Kinematics of Machine Components,2,Lecture,Wednesday,9:00,10:50,1,25
ARCS101,Introduction to the History of Architecture,1,Tutorial,Wednesday,16:00,17:50,8,45
MDPS251,Kinematics of Machine Components,2,Tutorial,Thursday,13:00,15:50,5,25
MDPS251,Kinematics of Machine Components,3,Lecture,Wednesday,11:00,12:50,3,25
MDPS251,Kinematics of Machine Components,3,Tutorial,Thursday,16:00,18:50,8,25
EPES201,Electrical Engineering Fundamentals,1,Lecture,Monday,9:00,10:50,1,25
EPES201,Electrical Engineering Fundamentals,1,Tutorial,Tuesday,16:00,18:50,8,25
ARCS107,Architectural Design-2,1,Lecture,Sunday,8:00,9:50,0,45
ARCS107,Architectural Design-2,1,Tutorial,Sunday,10:00,14:50,2,45
IHDS309,Water Chemistry and Microbiology,1,Lecture,Sunday,14:00,15:50,6,25
IHDS309,Water Chemistry and Microbiology,1,Tutorial,Sunday,16:00,17:50,8,25
WEES280,Engineering Seminar,1,Lecture,Monday,13:00,13:50,5,25
IHDS301,Introduction to Water Resources Engineering,1,Lecture,Thursday,11:00,12:50,3,25
IHDS301,Introduction to Water Resources Engineering,1,Tutorial,Tuesday,16:00,17:50,8,25
IHDS307,Introduction to Climate Change,1,Lecture,Thursday,13:00,13:50,5,25
MEPS201,Internal Combustion Engines (Theory and Development),1,Lecture,Sunday,11:00,12:50,3,25
MEPS201,Internal Combustion Engines (Theory and Development),1,Tutorial,Monday,11:00,12:50,3,25
MEPS305,Applied Control Technologies for Energy System,1,Lecture,Monday,9:00,10:50,1,25
MEPS305,Applied Control Technologies for Energy System,1,Tutorial,Sunday,13:00,14:50,5,25
MEPS231,Laboratory of Mechanical Engineering,1,Lecture,Monday,15:00,16:50,7,25
MEPS231,Laboratory of Mechanical Engineering,1,Tutorial,Sunday,16:00,17:50,8,25
